Network Category,Time Step,Robot ID,X, Y,Degree, SD Est
12-Chain,1,0,-12.5,0,2,2
12-Chain,1,1,-112.5,0,2,2
12-Chain,1,2,-62.5,0,2,2
12-Chain,1,3,-162.5,0,2,2
12-Chain,1,4,-262.5,0,1,1.2
12-Chain,1,5,-212.5,0,2,1.9000001
12-Chain,1,6,12.5,0,2,2
12-Chain,1,7,62.5,0,2,2
12-Chain,1,8,112.5,0,2,2
12-Chain,1,9,162.5,0,2,2
12-Chain,1,10,212.5,0,2,1.9000001
12-Chain,1,11,262.5,0,1,1.2
12-Chain,2,0,-12.5,0,2,2
12-Chain,2,1,-112.5,0,2,2
12-Chain,2,2,-62.5,0,2,2
12-Chain,2,3,-162.5,0,2,2
12-Chain,2,4,-262.5,0,1,1.2
12-Chain,2,5,-212.5,0,2,1.9000001
12-Chain,2,6,12.5,0,2,2
12-Chain,2,7,62.5,0,2,2
12-Chain,2,8,112.5,0,2,2
12-Chain,2,9,162.5,0,2,2
12-Chain,2,10,212.5,0,2,1.9000001
12-Chain,2,11,262.5,0,1,1.2
12-Chain,3,0,-12.5,0,2,2
12-Chain,3,1,-112.5,0,2,2
12-Chain,3,2,-62.5,0,2,2
12-Chain,3,3,-162.5,0,2,2
12-Chain,3,4,-262.5,0,1,1.2
12-Chain,3,5,-212.5,0,2,1.9000001
12-Chain,3,6,12.5,0,2,2
12-Chain,3,7,62.5,0,2,2
12-Chain,3,8,112.5,0,2,2
12-Chain,3,9,162.5,0,2,2
12-Chain,3,10,212.5,0,2,1.9000001
12-Chain,3,11,262.5,0,1,1.2
12-Chain,4,0,-12.5,0,2,2
12-Chain,4,1,-112.5,0,2,2
12-Chain,4,2,-62.5,0,2,2
12-Chain,4,3,-162.5,0,2,2
12-Chain,4,4,-262.5,0,1,1.2
12-Chain,4,5,-212.5,0,2,1.9000001
12-Chain,4,6,12.5,0,2,2
12-Chain,4,7,62.5,0,2,2
12-Chain,4,8,112.5,0,2,2
12-Chain,4,9,162.5,0,2,2
12-Chain,4,10,212.5,0,2,1.9000001
12-Chain,4,11,262.5,0,1,1.2
12-Chain,5,0,-12.5,0,2,2
12-Chain,5,1,-112.5,0,2,2
12-Chain,5,2,-62.5,0,2,2
12-Chain,5,3,-162.5,0,2,2
12-Chain,5,4,-262.5,0,1,1.2
12-Chain,5,5,-212.5,0,2,1.9000001
