Time Step,Robot ID,X,Y,Degree,SD Est,,
1,0,-109.75902,146.41852,0,0,,
1,1,-171.767,9.185063,0,0,,
1,2,-21.565517,13.991298,0,0,,
1,3,-91.53006,310.58533,0,0,,
1,4,-388.87326,-182.32246,0,0,,
1,5,173.89198,-241.68402,0,0,,
1,6,-383.78955,-67.80785,0,0,,
1,7,17.715517,220.75385,0,0,,
1,8,-86.0747,-56.11028,0,0,,
1,9,329.91336,-216.13489,0,0,,
1,10,85.98708,-370.10806,1,1,,
1,11,62.409645,-349.5588,1,1,,
2,0,-108.22943,148.99928,0,0,,
2,1,-173.00606,6.452899,0,0,,
2,2,-23.790987,11.979511,0,0,,
2,3,-91.053566,313.54724,0,0,,
2,4,-387.9174,-185.1661,0,0,,
2,5,173.17946,-238.76987,0,0,,
2,6,-381.00092,-68.91401,0,0,,
2,7,14.725937,220.50403,0,0,,
2,8,-83.96756,-53.974876,0,0,,
2,9,327.34048,-214.59209,0,0,,
2,10,84.04941,-372.39835,1,1,,
2,11,59.4637,-348.99188,1,1,,
3,0,-106.61875,151.53023,0,0,,
3,1,-174.33987,3.7657197,0,0,,
3,2,-26.133274,10.105026,0,0,,
3,3,-91.772514,316.4598,0,0,,
3,4,-387.71323,-188.15915,0,0,,
3,5,172.30307,-235.90073,0,0,,
3,6,-378.1574,-69.870316,0,0,,
3,7,11.799753,219.84264,0,0,,
3,8,-81.99772,-51.712196,0,0,,
3,9,324.99548,-212.72098,0,0,,
3,10,82.283226,-374.82333,1,1,,
3,11,56.489662,-348.59802,1,1,,
4,0,-105.271614,154.21075,0,0,,
4,1,-176.3276,1.5187414,0,0,,
4,2,-28.172647,7.904809,0,0,,
4,3,-91.96556,319.45358,0,0,,
4,4,-388.54474,-191.04161,0,0,,
4,5,170.63641,-233.40628,0,0,,
4,6,-375.48984,-71.242935,0,0,,
4,7,9.068444,218.60168,0,0,,
4,8,-79.923515,-49.544785,0,0,,
4,9,322.44965,-211.13394,0,0,,
4,10,81.60147,-377.74484,1,1,,
4,11,53.636787,-347.67004,1,1,,
5,0,-104.30771,157.05168,0,0,,
5,1,-178.51707,-0.53215957,0,0,,
5,2,-30.335777,5.8261385,0,0,,
5,3,-92.18358,322.44565,0,0,,
5,4,-389.20398,-193.96828,0,0,,
5,5,169.20604,-230.76923,0,0,,
5,6,-372.57648,-71.95875,0,0,,
5,7,6.0696163,218.68553,0,0,,
5,8,-77.906235,-47.324295,0,0,,
5,9,320.07846,-209.29613,0,0,,
5,10,80.85435,-380.65033,1,1,,
5,11,50.783646,-346.74292,1,1,,
6,0,-102.59402,159.51405,0,0,,
6,1,-180.9697,-2.259774,0,0,,
6,2,-32.016453,3.3411171,1,0.2,,
6,3,-91.81458,325.42288,0,0,,
6,4,-389.7439,-196.9193,0,0,,
6,5,167.01698,-228.71788,0,0,,
6,6,-369.64056,-72.57556,0,0,,
6,7,3.1075542,219.16112,0,0,,
6,8,-75.832016,-45.1569,1,1,,
6,9,317.856,-207.28102,0,0,,
6,10,79.41716,-383.28366,1,1,,
6,11,48.358612,-344.9768,1,1,,
7,0,-100.91134,161.99771,0,0,,
7,1,-183.53714,-3.8116345,0,0,,
7,2,-34.044865,1.1307898,1,1,,
7,3,-92.27399,328.3875,0,0,,
7,4,-390.0046,-199.90794,0,0,,
7,5,164.97313,-226.52182,0,0,,
7,6,-366.99396,-73.9882,0,0,,
7,7,0.13922095,219.59586,0,0,,
7,8,-74.36364,-42.54082,1,1,,
7,9,316.134,-204.82445,0,0,,
7,10,77.78463,-385.80057,1,1,,
7,11,45.923115,-343.22513,1,1,,
8,0,-99.155655,164.43031,0,0,,
8,1,-186.09438,-5.3802543,0,0,,
8,2,-36.034126,-1.1148381,1,1,,
8,3,-92.74143,331.35086,0,0,,
8,4,-392.7837,-198.78946,0,0,,
8,5,162.95132,-224.30545,0,0,,
8,6,-364.07788,-74.69283,0,0,,
8,7,-2.8365924,219.21568,0,0,,
8,8,-72.45193,-40.22882,1,1,,
8,9,314.18765,-202.54153,0,0,,
8,10,76.18611,-388.3392,1,1,,
8,11,43.400974,-341.60068,1,1,,
9,0,-97.37674,166.84598,0,0,,
9,1,-188.45465,-7.2320447,0,0,,
9,2,-38.34395,-3.0291867,1,1,,
9,3,-93.21128,334.31384,0,0,,
9,4,-387.05457,-199.35898,0,0,,
9,5,160.15742,-223.2127,0,0,,
9,6,-361.0993,-74.33499,0,0,,
9,7,-5.8359537,219.1538,0,0,,
9,8,-70.74875,-37.759167,1,1,,
9,9,311.91153,-200.58723,0,0,,
9,10,74.4891,-390.81308,1,1,,
9,11,41.35248,-339.40894,1,1,,
10,0,-94.767426,168.32634,0,0,,
10,1,-190.1218,-9.726165,0,0,,
10,2,-40.642754,-4.9567466,1,1,,
10,3,-93.74871,337.26532,0,0,,
10,4,-384.0546,-199.3751,0,0,,
10,5,157.35977,-222.12958,0,0,,
10,6,-358.10373,-74.17224,0,0,,
10,7,-8.782015,219.72012,0,0,,
10,8,-69.14903,-35.221275,1,1,,
10,9,308.97025,-199.99657,0,0,,
10,10,74.494705,-393,1,1,,
10,11,39.55225,-337.0091,1,1,,
11,0,-92.20387,169.88461,0,0,,
11,1,-191.01598,-12.589806,0,0,,
11,2,-42.67366,-7.1647806,1,1,,
11,3,-94.22027,340.22803,0,0,,
11,4,-381.21628,-198.40353,0,0,,
11,5,154.51178,-221.18675,0,0,,
11,6,-355.2107,-73.37828,0,0,,
11,7,-11.747676,220.17273,0,0,,
11,8,-66.97237,-33.156788,1,1,,
11,9,306.28543,-198.65799,0,0,,
11,10,77.07593,-388.4712,1,1,,
11,11,37.519245,-334.80298,1,1,,
12,0,-89.86005,171.75717,0,0,,
12,1,-191.71469,-15.507304,0,0,,
12,2,-44.639305,-9.4311075,1,1,,
12,3,-93.576454,343.15814,0,0,,
12,4,-378.3181,-197.62852,0,0,,
12,5,151.51445,-221.06036,0,0,,
12,6,-352.61996,-71.86565,0,0,,
12,7,-14.679526,220.80853,0,0,,
12,8,-65.14249,-30.77949,1,1,,
12,9,303.784,-197.00186,0,0,,
12,10,79.67636,-386.97528,0,0,,
12,11,35.21942,-332.87665,0,0,,
13,0,-87.15044,173.04482,0,0,,
13,1,-193.48022,-17.932768,0,0,,
13,2,-47.04014,-11.229996,1,1,,
13,3,-93.16449,346.12973,0,0,,
13,4,-375.40848,-196.8978,0,0,,
