Time Step,Robot ID,X,Y,Degree,SD Est
1,0,264.40976,-212.44582,0,0
1,1,-278.50626,28.705927,0,0
1,2,52.51573,-373.6539,0,0
1,3,108.835075,-119.40365,1,1
1,4,7.339457,-124.72898,0,0
1,5,346.76346,-139.79689,0,0
1,6,-27.647497,309.74783,0,0
1,7,333.2399,-37.2747,0,0
1,8,201.88496,176.37778,0,0
1,9,-72.68593,-327.34738,0,0
1,10,83.18072,-137.13445,1,1
1,11,344.18704,151.8102,0,0
2,0,267.33563,-213.10861,0,0
2,1,-275.93207,30.246567,0,0
2,2,54.347237,-376.02994,0,0
2,3,109.52754,-116.484665,1,1
2,4,10.147999,-123.67442,0,0
2,5,346.5425,-142.78874,0,0
2,6,-30.593903,309.18332,0,0
2,7,335.68015,-35.52964,0,0
2,8,199.32178,174.81891,0,0
2,9,-72.01676,-324.42297,0,0
2,10,80.43036,-138.33258,1,1
2,11,341.9495,149.81186,0,0
3,0,270.3334,-213.22401,0,0
3,1,-273.4929,31.993097,0,0
3,2,56.07147,-378.48492,0,0
3,3,110.315704,-113.59005,1,1
3,4,13.022242,-122.814926,1,1
3,5,346.2585,-145.77527,0,0
3,6,-33.140728,307.59787,0,0
3,7,337.01056,-32.840775,0,0
3,8,196.37225,174.27092,0,0
3,9,-71.63906,-321.44684,0,0
3,10,77.4305,-138.30353,2,1.8000001
3,11,339.71457,147.8106,0,0
4,0,273.33252,-213.29729,0,0
4,1,-270.7314,33.165386,0,0
4,2,57.83863,-380.9092,0,0
4,3,110.46529,-110.59378,1,1.2
4,4,15.972021,-122.2683,1,1.2
4,5,346.20282,-148.77475,0,0
4,6,-35.29285,305.5078,0,0
4,7,337.48352,-29.87829,0,0
4,8,193.40173,173.85136,0,0
4,9,-71.73032,-318.44824,0,0
4,10,74.48879,-138.89204,2,1.8000001
4,11,337.43646,145.85863,0,0
5,0,276.3325,-213.28622,0,0
5,1,-267.77502,33.675045,0,0
5,2,59.730843,-383.2372,0,0
5,3,110.59685,-107.596664,1,1.2
5,4,18.6088,-120.83743,1,1.2
5,5,345.5835,-151.71013,0,0
5,6,-36.81106,302.92035,0,0
5,7,338.12048,-26.94669,0,0
5,8,190.4544,174.41106,0,0
5,9,-71.22277,-315.4915,0,0
5,10,71.57679,-139.61333,2,1.8000001
5,11,334.92664,144.21521,0,0
6,0,279.31467,-212.95978,0,0
6,1,-264.7949,33.330307,0,0
6,2,61.18319,-385.8622,0,0
6,3,110.44302,-104.60061,1,1.2
6,4,21.255493,-119.42498,1,1.2
6,5,344.19852,-154.37129,0,0
6,6,-38.351078,300.3458,0,0
6,7,339.5395,-24.303513,0,0
6,8,187.6587,175.49919,0,0
6,9,-72.08949,-312.61942,0,0
6,10,68.61339,-140.08047,2,1.8000001
6,11,332.57663,142.35039,0,0
7,0,281.96487,-211.55392,0,0
7,1,-261.80432,33.56786,0,0
7,2,62.532024,-388.5419,0,0
7,3,109.89096,-101.65184,1,1.2
7,4,23.92498,-118.0561,1,1.2
7,5,343.34042,-157.24596,0,0
7,6,-39.76758,297.70126,0,0
7,7,340.432,-21.439348,0,0
7,8,184.84013,176.52663,0,0
7,9,-72.84264,-309.71548,0,0
7,10,65.61504,-139.98091,2,1.8000001
7,11,329.8992,140.99713,0,0
8,0,284.8195,-210.6313,0,0
8,1,-258.8119,33.780952,0,0
8,2,63.69108,-391.30896,0,0
8,3,108.64381,-98.92336,1,1.2
8,4,26.851307,-117.39534,1,1.2
8,5,341.5081,-159.62137,0,0
8,6,-41.437004,295.20868,0,0
8,7,340.48975,-18.439903,0,0
8,8,182.0308,177.5791,0,0
